"state"	"fips"	"county"	"mukey"	"musym"	"muname"	"cokey"	"comppct"	"slope"	"slopelenusle"	"hzdept_r"	"hzdepb_r"	"kffact"	"dbthirdbar_r"	"ph1to1h2o_r"	"wthirdbar_r"	"wfifteenbar_r"	"awc_r"	"claytotal_r"	"sandtotal_r"	"ksat_r"	"om_r"	"ll_r"	"texdesc"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195728"	"10"	"33"		"140"	"200"	".37"	"1.5"	"8"	"24.2"	"9"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195728"	"10"	"33"		"0"	"24"	".24"	"1.3"	"7.5"	"27.1"	"12.4"	"0.21"	"18"	"51"	"9.17"	"3"	"34"	"Loam"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195728"	"10"	"33"		"24"	"140"	".37"	"1.55"	"7.8"	"27.6"	"13.2"	"0.18"	"21"	"42"	"9.17"	"0.5"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195729"	"90"	"28"	"40"	"0"	"5"	".24"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195729"	"90"	"28"	"40"	"110"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195729"	"90"	"28"	"40"	"33"	"110"	".32"	"1.5"	"6.3"	"31"	"18.5"	"0.17"	"30"	"33"	"2.82"	"0.5"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195729"	"90"	"28"	"40"	"23"	"33"	".32"	"1.5"	"6"	"30.6"	"18"	"0.17"	"28"	"35"	"2.82"	"1"	"40"	"Clay loam"
"IA"	"IA169"	"Story"	"411289"	"L168F"	"Hayden loam, Bemis moraine, 22 to 40 percent slopes"	"16195729"	"90"	"28"	"40"	"5"	"23"	".32"	"1.5"	"6.7"	"29.1"	"15.6"	"0.18"	"24"	"39"	"9.17"	"1.25"	"37"	"Loam"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195519"	"95"	"1"	"27"	"46"	"76"	".28"	"1.5"	"5.8"	"19.4"	"9.8"	"0.14"	"14"	"66"	"28"	"0.25"	"24"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195519"	"95"	"1"	"27"	"76"	"91"	".15"	"1.6"	"5.8"	"14.9"	"5.4"	"0.09"	"7"	"84"	"92"	"0.25"	"18"	"Loamy sand"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195519"	"95"	"1"	"27"	"91"	"152"	".10"	"1.65"	"6.1"	"12.3"	"5.5"	"0.03"	"7"	"91"	"200"	"0.25"	"18"	"Sand"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195519"	"95"	"1"	"27"	"0"	"20"	".20"	"1.53"	"6.5"	"22.2"	"13.2"	"0.14"	"15"	"65"	"28"	"2"	"29"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195519"	"95"	"1"	"27"	"20"	"46"	".24"	"1.5"	"5.8"	"20.9"	"11.6"	"0.14"	"14"	"66"	"28"	"1.5"	"27"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195520"	"5"	"1"		"0"	"20"	".24"	"1.43"	"6.5"	"31.9"	"19.3"	"0.21"	"24.5"	"38.8"	"9"	"4.5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195520"	"5"	"1"		"20"	"46"	".24"	"1.43"	"6.5"	"30.4"	"16.8"	"0.21"	"24.5"	"38.8"	"9"	"2.5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195520"	"5"	"1"		"46"	"71"	".32"	"1.53"	"6.7"	"29.7"	"16.8"	"0.18"	"27"	"38"	"3"	"1"	"35"	"Clay loam"
"IA"	"IA169"	"Story"	"411290"	"175"	"Dickinson fine sandy loam, 0 to 2 percent slopes"	"16195520"	"5"	"1"		"71"	"203"	".02"	"1.65"	"7.5"	"13.1"	"5.5"	"0.03"	"10"	"84"	"92"	"0.25"	"7"	"Very gravelly loamy sand"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195521"	"95"	"4"	"36"	"0"	"20"	".20"	"1.53"	"6.5"	"22.2"	"13.2"	"0.14"	"15"	"65"	"28"	"2"	"29"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195521"	"95"	"4"	"36"	"20"	"46"	".24"	"1.5"	"5.8"	"20.9"	"11.6"	"0.14"	"14"	"66"	"28"	"1.5"	"27"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195521"	"95"	"4"	"36"	"46"	"76"	".28"	"1.5"	"5.8"	"19.4"	"9.8"	"0.14"	"14"	"66"	"28"	"0.25"	"24"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195521"	"95"	"4"	"36"	"76"	"91"	".15"	"1.6"	"5.8"	"14.9"	"5.4"	"0.09"	"7"	"84"	"92"	"0.25"	"18"	"Loamy sand"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195521"	"95"	"4"	"36"	"91"	"152"	".10"	"1.65"	"6.1"	"12.3"	"5.5"	"0.03"	"7"	"91"	"200"	"0.25"	"18"	"Sand"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195522"	"5"	"1"		"0"	"20"	".24"	"1.43"	"6.5"	"31.9"	"19.3"	"0.21"	"24.5"	"38.8"	"9"	"4.5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195522"	"5"	"1"		"20"	"46"	".24"	"1.43"	"6.5"	"30.4"	"16.8"	"0.21"	"24.5"	"38.8"	"9"	"2.5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195522"	"5"	"1"		"46"	"71"	".32"	"1.53"	"6.7"	"29.7"	"16.8"	"0.18"	"27"	"38"	"3"	"1"	"35"	"Clay loam"
"IA"	"IA169"	"Story"	"411291"	"175B"	"Dickinson fine sandy loam, 2 to 5 percent slopes"	"16195522"	"5"	"1"		"71"	"203"	".02"	"1.65"	"7.5"	"13.1"	"5.5"	"0.03"	"10"	"84"	"92"	"0.25"	"7"	"Very gravelly loamy sand"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195669"	"5"	"7"		"0"	"18"	".24"	"1.43"	"6.5"	"29.7"	"16"	"0.21"	"21"	"41.6"	"9"	"3.5"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195669"	"5"	"7"		"18"	"46"	".32"	"1.43"	"6.5"	"28.9"	"14.7"	"0.21"	"21"	"41.6"	"9"	"2.5"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195669"	"5"	"7"		"46"	"91"	".32"	"1.6"	"6.7"	"29.3"	"16.5"	"0.18"	"26"	"37.4"	"9"	"0.75"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195669"	"5"	"7"		"91"	"152"	".43"	"1.6"	"7.9"	"25"	"10.5"	"0.18"	"17"	"43.3"	"9"	"0.25"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195670"	"90"	"7"	"36"	"0"	"20"	".20"	"1.53"	"6.5"	"22.2"	"13.2"	"0.14"	"15"	"65"	"28"	"2"	"29"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195670"	"90"	"7"	"36"	"20"	"46"	".24"	"1.5"	"5.8"	"20.9"	"11.6"	"0.14"	"14"	"66"	"28"	"1.5"	"27"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195670"	"90"	"7"	"36"	"46"	"76"	".28"	"1.5"	"5.8"	"19.4"	"9.8"	"0.14"	"14"	"66"	"28"	"0.25"	"24"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195670"	"90"	"7"	"36"	"76"	"91"	".15"	"1.6"	"5.8"	"14.9"	"5.4"	"0.09"	"7"	"84"	"92"	"0.25"	"18"	"Loamy sand"
"IA"	"IA169"	"Story"	"411292"	"175C"	"Dickinson fine sandy loam, 5 to 9 percent slopes"	"16195670"	"90"	"7"	"36"	"91"	"152"	".10"	"1.65"	"6.1"	"12.3"	"5.5"	"0.03"	"7"	"91"	"200"	"0.25"	"18"	"Sand"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195523"	"30"	"4"		"0"	"71"	".24"	"1.38"	"6.7"	"31.1"	"17.9"	"0.21"	"22"	"41.1"	"9"	"5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195523"	"30"	"4"		"71"	"152"	".32"	"1.58"	"7"	"31.1"	"18.7"	"0.17"	"28.5"	"39.8"	"3"	"0.5"	"30"	"Clay loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195524"	"5"	"1"		"0"	"152"	".24"	"1.5"	"6.5"	"32.1"	"19.1"	"0.2"	"22"	"41.1"	"9"	"4.5"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195525"	"65"	"2"	"30"	"112"	"132"	".37"	"1.55"	"6.5"	"28.9"	"14.3"	"0.17"	"20"	"38.5"	"9"	"1.5"	"34"	"Loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195525"	"65"	"2"	"30"	"132"	"152"	".24"	"1.55"	"6.7"	"20.3"	"11.4"	"0.15"	"16"	"61.9"	"28"	"1"	"28"	"Sandy loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195525"	"65"	"2"	"30"	"0"	"20"	".28"	"1.45"	"6.7"	"36.3"	"26.4"	"0.21"	"31"	"22"	"3"	"6"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195525"	"65"	"2"	"30"	"20"	"81"	".24"	"1.45"	"6.7"	"35"	"23.7"	"0.21"	"31"	"19"	"3"	"4.5"	"42.5"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195525"	"65"	"2"	"30"	"81"	"102"	".28"	"1.45"	"6.7"	"35.5"	"24.7"	"0.17"	"29"	"26.7"	"3"	"5.5"	"50"	"Clay loam"
"IA"	"IA169"	"Story"	"411293"	"201B"	"Coland-Terril complex, 1 to 5 percent slopes"	"16195525"	"65"	"2"	"30"	"102"	"112"	".24"	"1.55"	"6.7"	"20.8"	"12.1"	"0.15"	"16"	"61.9"	"28"	"1.5"	"29"	"Sandy loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195526"	"85"	"1"	"27"	"0"	"20"	".20"	"1.3"	"6.4"	"30.3"	"17"	"0.21"	"24"	"42"	"9.17"	"4.5"	"44"	"Loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195526"	"85"	"1"	"27"	"20"	"48"	".24"	"1.3"	"6.7"	"28.8"	"14.8"	"0.18"	"24"	"45"	"9.17"	"2.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195526"	"85"	"1"	"27"	"48"	"86"	".20"	"1.35"	"6.9"	"19.6"	"11"	"0.13"	"19"	"58"	"28.23"	"1"	"31"	"Sandy loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195526"	"85"	"1"	"27"	"86"	"200"	".02"	"1.6"	"7.5"	"10.5"	"3.6"	"0.07"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195527"	"10"	"1"		"0"	"20"	".24"	"1.25"	"6.9"	"32.7"	"21.1"	"0.18"	"27"	"36"	"2.82"	"7"	"51"	"Clay loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195527"	"10"	"1"		"52"	"88"	".24"	"1.3"	"7.2"	"20.9"	"12.7"	"0.17"	"22"	"52"	"9.17"	"1.5"	"35"	"Sandy clay loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195527"	"10"	"1"		"88"	"200"	".02"	"1.6"	"7.9"	"10.3"	"3.5"	"0.06"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195527"	"10"	"1"		"20"	"52"	".24"	"1.25"	"7"	"31.5"	"18.9"	"0.17"	"27"	"39"	"2.82"	"5"	"47"	"Clay loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195528"	"5"	"0"		"18"	"51"	".24"	"1.2"	"7"	"32.8"	"21.3"	"0.17"	"27"	"39"	"2.82"	"8"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195528"	"5"	"0"		"0"	"18"	".24"	"1.2"	"6.9"	"34.3"	"24.2"	"0.18"	"29"	"32"	"2.82"	"10"	"59"	"Clay loam"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195528"	"5"	"0"		"71"	"200"	".02"	"1.6"	"7.5"	"10.6"	"3.8"	"0.04"	"6"	"85"	"91.74"	"0.5"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411295"	"203"	"Cylinder loam, 0 to 2 percent slopes"	"16195528"	"5"	"0"		"51"	"71"	".24"	"1.3"	"7.2"	"21.3"	"13.2"	"0.17"	"22"	"52"	"9.17"	"2"	"36"	"Sandy clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195688"	"5"	"1"		"91"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195688"	"5"	"1"		"41"	"51"	".28"	"1.35"	"7.7"	"32.4"	"20.7"	"0.18"	"32"	"32"	"2.82"	"3"	"47"	"Clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195688"	"5"	"1"		"23"	"41"	".24"	"1.35"	"7.7"	"33.6"	"23"	"0.18"	"32"	"32"	"2.82"	"5"	"51"	"Clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195688"	"5"	"1"		"0"	"23"	".28"	"1.05"	"7.5"	"31.5"	"19.4"	"0.18"	"32"	"30"	"2.82"	"7"	"54"	"Clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195688"	"5"	"1"		"51"	"91"	".32"	"1.4"	"8"	"30.4"	"17.1"	"0.17"	"27"	"39"	"2.82"	"1.5"	"38"	"Clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195689"	"90"	"0"	"210"	"118"	"200"	".43"	"1.45"	"7.7"	"31.1"	"17"	"0.19"	"27"	"19"	"2.82"	"1"	"38"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195689"	"90"	"0"	"210"	"69"	"118"	".32"	"1.15"	"7.2"	"34.1"	"22.2"	"0.22"	"33"	"14"	"2.82"	"7"	"55"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195689"	"90"	"0"	"210"	"22"	"69"		"0.35"	"6.7"	"52.5"	"19.5"	"0.4"			"21.88"	"65"		"Muck"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195689"	"90"	"0"	"210"	"0"	"22"		"0.35"	"6.7"	"52.5"	"19.5"	"0.4"			"21.88"	"65"		"Muck"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195690"	"5"	"0"		"0"	"20"	".32"	"0.95"	"6.8"	"33.5"	"21"	"0.22"	"36"	"11"	"0.92"	"9"	"64"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195690"	"5"	"0"		"97"	"200"	".37"	"1.6"	"7.4"	"31.6"	"19.3"	"0.19"	"31"	"16"	"2.82"	"0.25"	"41"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195690"	"5"	"0"		"84"	"97"	".37"	"1.4"	"7.1"	"34"	"22"	"0.19"	"36"	"15"	"0.92"	"1.5"	"49"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411296"	"221"	"Klossner muck, 0 to 1 percent slopes"	"16195690"	"5"	"0"		"20"	"84"	".32"	"1.3"	"7"	"35.8"	"25.4"	"0.22"	"36"	"12"	"0.92"	"6"	"58"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195529"	"5"	"1"		"107"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195529"	"5"	"1"		"51"	"107"	".32"	"1.4"	"7.3"	"30.7"	"17.6"	"0.17"	"28"	"35"	"2.82"	"1.5"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195529"	"5"	"1"		"0"	"25"	".28"	"1.05"	"6.5"	"31.8"	"19.8"	"0.18"	"33"	"25"	"2.82"	"7"	"56"	"Clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195529"	"5"	"1"		"25"	"51"	".28"	"1.35"	"6.9"	"33.9"	"23.5"	"0.18"	"33"	"25"	"2.82"	"5"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195530"	"80"	"4"	"30"	"23"	"76"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195530"	"80"	"4"	"30"	"76"	"200"	".32"	"1.6"	"7.9"	"29"	"15.5"	"0.18"	"25"	"38"	"9.17"	"0.25"	"34"	"Loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195530"	"80"	"4"	"30"	"0"	"23"	".28"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195531"	"10"	"2"		"20"	"36"	".28"	"1.35"	"6.2"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195531"	"10"	"2"		"132"	"200"	".32"	"1.6"	"7.9"	"29"	"15.5"	"0.18"	"25"	"38"	"9.17"	"0.25"	"34"	"Loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195531"	"10"	"2"		"0"	"20"	".28"	"1.35"	"6.2"	"30.8"	"18.2"	"0.21"	"24"	"39"	"9.17"	"5"	"45"	"Loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195531"	"10"	"2"		"36"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195532"	"5"	"1"		"97"	"200"	".32"	"1.6"	"7.9"	"29"	"15.5"	"0.18"	"25"	"38"	"9.17"	"0.25"	"34"	"Loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195532"	"5"	"1"		"25"	"45"	".28"	"1.35"	"6.2"	"31.1"	"18.5"	"0.18"	"28"	"34.2"	"2.82"	"3"	"44"	"Clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195532"	"5"	"1"		"0"	"25"	".28"	"1.35"	"6.2"	"33"	"21.9"	"0.18"	"28"	"34.2"	"2.82"	"6"	"50"	"Clay loam"
"IA"	"IA169"	"Story"	"411297"	"236B"	"Lester loam, 2 to 6 percent slopes"	"16195532"	"5"	"1"		"45"	"97"	".28"	"1.5"	"6.3"	"31.8"	"20"	"0.17"	"32"	"33"	"2.82"	"0.75"	"43"	"Clay loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195533"	"5"	"2"		"20"	"38"	".28"	"1.25"	"6.2"	"29.9"	"16.6"	"0.21"	"26"	"31"	"9.17"	"4"	"44"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195533"	"5"	"2"		"0"	"20"	".28"	"1.1"	"6.2"	"29.8"	"16.5"	"0.21"	"26"	"31"	"9.17"	"6"	"48"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195533"	"5"	"2"		"74"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195533"	"5"	"2"		"38"	"74"	".32"	"1.35"	"6.6"	"28.9"	"14.9"	"0.18"	"26"	"36"	"9.17"	"1.25"	"38"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195534"	"2"	"4"		"23"	"38"	".32"	"1.5"	"6.7"	"28.7"	"14.9"	"0.18"	"24"	"39"	"9.17"	"1"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195534"	"2"	"4"		"38"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195534"	"2"	"4"		"0"	"23"	".24"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195534"	"2"	"4"		"132"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195535"	"80"	"7"	"40"	"23"	"38"	".32"	"1.5"	"6.7"	"28.7"	"14.9"	"0.18"	"24"	"39"	"9.17"	"1"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195535"	"80"	"7"	"40"	"38"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195535"	"80"	"7"	"40"	"0"	"23"	".24"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195535"	"80"	"7"	"40"	"132"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195536"	"10"	"2"		"20"	"36"	".28"	"1.35"	"6.2"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195536"	"10"	"2"		"132"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195536"	"10"	"2"		"0"	"20"	".28"	"1.35"	"6.2"	"30.8"	"18.2"	"0.21"	"24"	"39"	"9.17"	"5"	"45"	"Loam"
